project,_id,key,issuetype_name,priority_name,status_name,age_days,watch_count,votes_count,has_assignee,components_count,comment_count,status_changes_count
FLINK,13584932,FLINK-35779,Sub-task,Major,Resolved,21,2,0,1,1,1,1
FLINK,13584938,FLINK-35780,Sub-task,Major,In Progress,77,3,0,1,1,3,1
FLINK,13584952,FLINK-35781,Improvement,Major,Resolved,4,1,0,1,1,1,1
FLINK,13584986,FLINK-35782,Bug,Major,Open,2,2,0,0,2,2,0
FLINK,13584993,FLINK-35783,Bug,Major,Closed,0,2,0,0,1,5,1
FLINK,13585016,FLINK-35784,Bug,Blocker,Resolved,1,2,0,1,1,2,2
FLINK,13585017,FLINK-35785,Bug,Blocker,Closed,0,4,0,0,2,3,1
FLINK,13585024,FLINK-35786,Bug,Major,Closed,1,1,0,1,1,1,1
FLINK,13585025,FLINK-35787,Bug,Major,Closed,0,1,0,0,1,1,1
FLINK,13585032,FLINK-35788,Sub-task,Major,Resolved,20,1,0,1,1,1,1
FLINK,13585070,FLINK-35789,Sub-task,Major,Closed,55,2,0,1,0,1,1
FLINK,13585075,FLINK-35790,Sub-task,Major,Closed,55,1,0,1,0,1,1
FLINK,13585091,FLINK-35791,Improvement,Not a Priority,Resolved,30,3,0,1,1,1,1
FLINK,13585106,FLINK-35792,Bug,Major,Open,113,4,0,1,1,3,0
FLINK,13585127,FLINK-35793,Bug,Major,Open,0,1,0,1,1,2,0
FLINK,13585137,FLINK-35794,Improvement,Major,Closed,0,2,0,0,1,6,1
FLINK,13585151,FLINK-35795,Sub-task,Major,Closed,94,1,0,1,1,1,1
FLINK,13585176,FLINK-35796,Bug,Major,Resolved,1,2,0,1,1,2,2
FLINK,13585232,FLINK-35797,New Feature,Major,Open,28,1,0,1,1,1,0
FLINK,13585233,FLINK-35798,Sub-task,Major,Resolved,54,1,0,1,1,1,1
FLINK,13585234,FLINK-35799,Sub-task,Major,Closed,54,1,0,1,1,1,1
FLINK,13585248,FLINK-35800,Improvement,Minor,Open,7,3,0,0,1,1,0
FLINK,13585253,FLINK-35801,Bug,Blocker,Resolved,54,3,0,1,1,3,1
FLINK,13585259,FLINK-35802,Bug,Major,Open,66,3,0,1,1,2,0
FLINK,13585283,FLINK-35803,Bug,Blocker,Resolved,54,3,0,1,1,7,1
FLINK,13585290,FLINK-35804,Bug,Major,Closed,4,2,0,1,1,1,2
FLINK,13585300,FLINK-35805,Improvement,Major,Resolved,34,3,0,1,1,1,1
FLINK,13585316,FLINK-35806,Improvement,Minor,Open,0,2,0,1,1,2,0
FLINK,13585331,FLINK-35807,Bug,Major,Open,0,1,0,0,1,0,0
FLINK,13585355,FLINK-35808,Improvement,Minor,Resolved,92,1,0,1,1,0,1
FLINK,13585379,FLINK-35809,New Feature,Not a Priority,Closed,46,2,0,0,1,0,1
FLINK,13585409,FLINK-35810,Bug,Critical,Open,68,6,0,0,1,13,0
FLINK,13585416,FLINK-35811,Sub-task,Minor,Open,0,1,0,0,1,1,0
FLINK,13585420,FLINK-35812,Improvement,Major,Resolved,53,1,0,1,1,1,1
FLINK,13585427,FLINK-35813,Bug,Major,Resolved,26,2,0,1,1,1,1
FLINK,13585450,FLINK-35814,Improvement,Major,Open,7,3,0,1,1,5,0
FLINK,13585461,FLINK-35815,Bug,Major,Resolved,24,2,0,1,1,1,1
